procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  5      0 347331616 352272 114253392    0    0 502640     0 17552 12421 10  4 75 11  0
 4  8      0 351274912 352276 110076464    0    0 491808     0 19211 14775  7  6 75 13  0
 8  6      0 357085792 352280 102534992    0    0 500612     4 20198 14637  7  7 72 14  0
 3  8      0 357438880 352284 101195280    0    0 536328    48 18659 13052 10  5 72 14  0
 4  5      0 356989600 352284 101268096    0    0 495928     0 19518 14517  9  4 74 14  0
 9  1      0 359518688 352284 98351544    0    0 484812     0 15487 13142  4  4 79 13  0
 4  4      0 366945760 352284 90794816    0    0 474488     0 15238 11694  5  4 80 11  0
 4  3      0 369415744 352284 88189328    0    0 433096     0 12961 10956  4  4 85  7  0
 6  2      0 370223616 352280 88258416    0    0 338856     0 19813 9986  7  4 84  4  0
 6  3      0 372453440 352288 86827760    0    0 335124    40 16847 9888  8  5 83  4  0
 3  6      0 378249088 352284 79296224    0    0 418576     0 17098 11508  7  6 80  7  0
 9  5      0 380719168 352284 75174200    0    0 491940     0 17260 12861  7  5 77 11  0
 7  8      0 380386016 352284 75246176    0    0 487644     0 18742 13628  9  4 74 13  0
12  2      0 380153088 352284 75103264    0    0 538512     0 20023 13390 10  5 70 15  0
 7  8      0 387388672 352280 67737904    0    0 511108    48 19303 14519  7  5 73 14  0
 7 10      0 392190400 352284 62113440    0    0 544100     0 18845 14808  7  6 70 18  0
 8 11      0 392264448 352280 62186600    0    0 578876     0 20574 15817  8  5 65 22  0
14  5      0 394329184 352268 62057944    0    0 581336     8 20335 15545  9  6 64 22  0
 6 13      0 400539648 352264 55982848    0    0 608844     0 21021 15720  8  7 62 23  0
 5 12      0 405587552 352272 49211740    0    0 589368    48 20320 15051  8  7 63 22  0
 5 14      0 403265760 352264 50731840    0    0 592072     0 19716 14125  7  6 63 23  0
 6 12      0 401689568 352264 52273056    0    0 615896     0 21099 14203 10  6 61 23  0
 4 14      0 399994720 352256 53860636    0    0 616968     0 17214 13557  6  5 64 24  0
 8  9      0 398534336 352252 55420948    0    0 607992     0 18055 13403  6  5 64 24  0
 8 12      0 397441440 352252 56987552    0    0 612756    44 17813 15150  4  5 64 26  0
 7 17      0 395567520 352252 58512000    0    0 644820     0 19717 14720  7  6 63 25  0
