timestamp, name, utilization.gpu [%], utilization.memory [%], temperature.gpu
2025/06/12 11:29:37.039, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 28
2025/06/12 11:29:39.039, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 28
2025/06/12 11:29:41.040, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 28
2025/06/12 11:29:43.040, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 28
2025/06/12 11:29:45.040, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 28
2025/06/12 11:29:47.040, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 28
2025/06/12 11:29:49.041, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 28
2025/06/12 11:29:51.041, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 28
2025/06/12 11:29:53.041, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 27
2025/06/12 11:29:55.041, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 27
2025/06/12 11:29:57.042, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 27
2025/06/12 11:29:59.042, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 27
2025/06/12 11:30:01.042, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 27
2025/06/12 11:30:03.042, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 27
2025/06/12 11:30:05.043, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 27
2025/06/12 11:30:07.043, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 27
2025/06/12 11:30:09.043, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 27
2025/06/12 11:30:11.043, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 27
2025/06/12 11:30:13.044, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 27
2025/06/12 11:30:15.044, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 27
2025/06/12 11:30:17.044, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 27
